"Sehr geehrter Herr Dr. Carsten Linnemann,",857688
"Sehr geehrte Frau Patricia Lips,",857666
"Sehr geehrte Frau Dr. Gesine Lötzsch,",857662
"Sehr geehrte Frau Denise Loop,",861324
"Sehr geehrter Herr Bernhard Loos,",857680
"Sehr geehrter Herr Rüdiger Lucassen,",857652
"Sehr geehrter Herr Max Lucks,",860924
"Sehr geehrter Herr Dr. Jan-Marco Luczak,",857670
"Sehr geehrte Frau Daniela Ludwig,",857682
"Sehr geehrte Frau Dr. Anna Lührmann,",860732
"Sehr geehrte Frau Kristine Lütke,",860764
"Sehr geehrte Frau Bettina Lugk,",860978
"Sehr geehrter Herr Oliver Luksic,",857702
"Sehr geehrter Herr Thomas Lutze,",857660
"Sehr geehrter Herr Heiko Maas,",857754
"Sehr geehrte Frau Dr. Tanja Machalet,",861182
"Sehr geehrter Herr Klaus Mack,",861554
"Sehr geehrte Frau Isabel Mackensen-Geis,",857764
"Sehr geehrte Frau Yvonne Magwas,",857746
"Sehr geehrter Herr Erik von Malottki,",860824
"Sehr geehrter Herr Holger Mann,",861268
"Sehr geehrter Herr Till Mansmann,",857714
"Sehr geehrter Herr Kaweh Mansoori,",860624
"Sehr geehrte Frau Dr. Zanda Martens,",860992
"Sehr geehrte Frau Dorothee Martin,",857706
"Sehr geehrter Herr Parsa Marvi,",860158
"Sehr geehrte Frau Franziska Mascheck,",861710
"Sehr geehrte Frau Katja Mast,",857756
"Sehr geehrter Herr Andreas Mattfeldt,",857716
"Sehr geehrter Herr Stephan Mayer,",857710
"Sehr geehrte Frau Zoe Mayer,",860136
"Sehr geehrter Herr Volker Mayer-Lay,",861536
"Sehr geehrter Herr Andreas Mehltretter,",860282
"Sehr geehrter Herr Takis Mehmet Ali,",860230
"Sehr geehrter Herr Pascal Meiser,",857732
"Sehr geehrter Herr Dr. Michael Meister,",857742
"Sehr geehrte Frau Susanne Menge,",860842
"Sehr geehrte Frau Anikó Merten,",860896
"Sehr geehrter Herr Friedrich Merz,",861648
"Sehr geehrter Herr Robin Mesarosch,",860198
"Sehr geehrter Herr Jan Metzler,",857736
"Sehr geehrter Herr Christoph Meyer,",857758
"Sehr geehrte Frau Corinna Miazga,",857734
