Nachname,Vorname,Anrede,Geschlecht,ID
Lauterbach,Prof. Dr. Karl,Prof. Dr. Karl Lauterbach,M,857696
Lay,Caren,Caren Lay,F,857654
Lechte,Ulrich,Ulrich Lechte,M,857684
Lehmann,Jens,Jens Lehmann,M,857694
Lehmann,Sven,Sven Lehmann,M,857664
Lehmann,Sylvia,Sylvia Lehmann,F,857668
Lehrieder,Paul,Paul Lehrieder,M,857676
Leikert,Dr. Katja,Dr. Katja Leikert,F,857650
Leiser,Kevin,Kevin Leiser,M,860222
Lemke,Steffi,Steffi Lemke,F,857674
Lenders,Jürgen,Jürgen Lenders,M,860780
Lenk,Barbara,Barbara Lenk,F,860782
Lenkert,Ralph,Ralph Lenkert,M,857698
Lenz,Dr. Andreas,Dr. Andreas Lenz,M,857656
Leye,Christian,Christian Leye,M,860784
Licina-Bode,Luiza,Luiza Licina-Bode,F,861002
Lieb,Dr. Thorsten,Dr. Thorsten Lieb,M,860786
Liebert,Anja,Anja Liebert,F,861930
Limbacher,Esra,Esra Limbacher,M,861252
Limburg,Helge,Helge Limburg,M,860820
Lindemann,Lars,Lars Lindemann,M,860788
Lindh,Helge,Helge Lindh,M,857648
Lindholz,Andrea,Andrea Lindholz,F,857700
Lindner,Christian,Christian Lindner,M,857658
Lindner,Dr. Tobias,Dr. Tobias Lindner,M,857672
Link,Michael Georg,Michael Georg Link,M,857678
Linnemann,Dr. Carsten,Dr. Carsten Linnemann,M,857688
Lips,Patricia,Patricia Lips,F,857666
Lötzsch,Dr. Gesine,Dr. Gesine Lötzsch,F,857662
Loop,Denise,Denise Loop,F,861324
Loos,Bernhard,Bernhard Loos,M,857680
Lucassen,Rüdiger,Rüdiger Lucassen,M,857652
Lucks,Max,Max Lucks,M,860924
Luczak,Dr. Jan-Marco,Dr. Jan-Marco Luczak,M,857670
Ludwig,Daniela,Daniela Ludwig,F,857682
Lührmann,Dr. Anna,Dr. Anna Lührmann,F,860732
Lütke,Kristine,Kristine Lütke,F,860764
Lugk,Bettina,Bettina Lugk,F,860978
Luksic,Oliver,Oliver Luksic,M,857702
Lutze,Thomas,Thomas Lutze,M,857660
Maas,Heiko,Heiko Maas,M,857754
Machalet,Dr. Tanja,Dr. Tanja Machalet,F,861182
Mack,Klaus,Klaus Mack,M,861554
Mackensen-Geis,Isabel,Isabel Mackensen-Geis,F,857764
Magwas,Yvonne,Yvonne Magwas,F,857746
Malottki,Erik von,Erik von Malottki,M,860824
Mann,Holger,Holger Mann,M,861268
Mansmann,Till,Till Mansmann,M,857714
Mansoori,Kaweh,Kaweh Mansoori,M,860624
Martens,Dr. Zanda,Dr. Zanda Martens,F,860992
Martin,Dorothee,Dorothee Martin,F,857706
Marvi,Parsa,Parsa Marvi,M,860158
Mascheck,Franziska,Franziska Mascheck,F,861710
Mast,Katja,Katja Mast,F,857756
Mattfeldt,Andreas,Andreas Mattfeldt,M,857716
Mayer,Stephan,Stephan Mayer,M,857710
Mayer,Zoe,Zoe Mayer,F,860136
Mayer-Lay,Volker,Volker Mayer-Lay,M,861536
Mehltretter,Andreas,Andreas Mehltretter,M,860282
Mehmet Ali,Takis,Takis Mehmet Ali,M,860230
Meiser,Pascal,Pascal Meiser,M,857732
Meister,Dr. Michael,Dr. Michael Meister,M,857742
Menge,Susanne,Susanne Menge,F,860842
Merten,Anikó,Anikó Merten,F,860896
Merz,Friedrich,Friedrich Merz,M,861648
Mesarosch,Robin,Robin Mesarosch,M,860198
Metzler,Jan,Jan Metzler,M,857736
Meyer,Christoph,Christoph Meyer,M,857758
Miazga,Corinna,Corinna Miazga,F,857734
Michaelsen,Swantje Henrike,Swantje Henrike Michaelsen,F,860836
Michel,Kathrin,Kathrin Michel,F,861270
Middelberg,Dr. Mathias,Dr. Mathias Middelberg,M,857718
Miersch,Dr. Matthias,Dr. Matthias Miersch,M,857728
Mieves,Matthias David,Matthias David Mieves,M,861194
Mihalic,Dr. Irene,Dr. Irene Mihalic,F,857750
Mijatović,Boris,Boris Mijatović,M,860738
Mittag,Susanne,Susanne Mittag,F,857748
